"수계별(1)","수계별(2)",항목,2020.01,2020.02,2020.03
"한강","춘천댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","춘천댐3",시안 CN (㎎/ℓ),-,-,0.00
"한강","춘천댐3",납 Pb (㎎/ℓ),-,-,0.00396
"한강","춘천댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","춘천댐3",비소 As (㎎/ℓ),-,-,0.00000
"한강","춘천댐3",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","소양강댐1",생물화학적산소요구량 BOD (㎎/ℓ),1.4,1.0,1.2
"한강","소양강댐1",용존산소 DO (㎎/ℓ),7.8,7.5,7.5
"한강","소양강댐1",수온 (℃),7.7,6.0,5.8
"한강","소양강댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","소양강댐1",시안 CN (㎎/ℓ),-,-,0.00
"한강","소양강댐1",납 Pb (㎎/ℓ),-,-,0.00000
"한강","소양강댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","소양강댐1",비소 As (㎎/ℓ),-,-,0.00000
"한강","소양강댐1",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","소양강댐2",생물화학적산소요구량 BOD (㎎/ℓ),1.4,1.2,1.4
"한강","소양강댐2",용존산소 DO (㎎/ℓ),8.0,10.6,11.1
"한강","소양강댐2",수온 (℃),8.2,4.0,6.0
"한강","소양강댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","소양강댐2",시안 CN (㎎/ℓ),-,-,0.00
"한강","소양강댐2",납 Pb (㎎/ℓ),-,-,0.00000
"한강","소양강댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","소양강댐2",비소 As (㎎/ℓ),-,-,0.00000
"한강","소양강댐2",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","소양강댐3",생물화학적산소요구량 BOD (㎎/ℓ),1.5,1.2,1.4
"한강","소양강댐3",용존산소 DO (㎎/ℓ),10.3,11.8,11.9
"한강","소양강댐3",수온 (℃),8.5,6.2,5.9
"한강","소양강댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","소양강댐3",시안 CN (㎎/ℓ),-,-,0.00
"한강","소양강댐3",납 Pb (㎎/ℓ),-,-,0.00000
"한강","소양강댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","소양강댐3",비소 As (㎎/ℓ),-,-,0.00000
"한강","소양강댐3",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","소양강댐4",생물화학적산소요구량 BOD (㎎/ℓ),2.5,2.2,2.6
"한강","소양강댐4",용존산소 DO (㎎/ℓ),12.3,13.3,13.3
"한강","소양강댐4",수온 (℃),5.1,3.1,5.0
"한강","소양강댐4",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","소양강댐4",시안 CN (㎎/ℓ),-,-,0.00
"한강","소양강댐4",납 Pb (㎎/ℓ),-,-,0.00000
"한강","소양강댐4",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","소양강댐4",비소 As (㎎/ℓ),-,-,0.00000
"한강","소양강댐4",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","소양강댐5",생물화학적산소요구량 BOD (㎎/ℓ),1.9,2.3,2.6
"한강","소양강댐5",용존산소 DO (㎎/ℓ),11.1,13.3,13.0
"한강","소양강댐5",수온 (℃),7.6,4.2,5.5
"한강","소양강댐5",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","소양강댐5",시안 CN (㎎/ℓ),-,-,0.00
"한강","소양강댐5",납 Pb (㎎/ℓ),-,-,0.00000
"한강","소양강댐5",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","소양강댐5",비소 As (㎎/ℓ),-,-,0.00000
"한강","소양강댐5",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","의암댐1",생물화학적산소요구량 BOD (㎎/ℓ),0.5,0.8,0.6
"한강","의암댐1",용존산소 DO (㎎/ℓ),13.0,13.1,13.1
"한강","의암댐1",수온 (℃),4.4,5.0,7.5
"한강","의암댐1",카드뮴 Cd (㎎/ℓ),0.00000,0.00000,0.00000
"한강","의암댐1",시안 CN (㎎/ℓ),0.00,0.00,0.00
"한강","의암댐1",납 Pb (㎎/ℓ),0.00287,0.00169,0.00375
"한강","의암댐1",6가크롬 Cr6+ (㎎/ℓ),0.000,0.000,0.000
"한강","의암댐1",비소 As (㎎/ℓ),0.00000,0.00000,0.00000
"한강","의암댐1",수은 Hg (㎎/ℓ),0.0000000,0.0000000,0.0000000
"한강","의암댐2",생물화학적산소요구량 BOD (㎎/ℓ),-,-,0.3
"한강","의암댐2",용존산소 DO (㎎/ℓ),-,-,13.5
"한강","의암댐2",수온 (℃),-,-,6.2
"한강","의암댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","의암댐2",시안 CN (㎎/ℓ),-,-,0.00
"한강","의암댐2",납 Pb (㎎/ℓ),-,-,0.00487
"한강","의암댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","의암댐2",비소 As (㎎/ℓ),-,-,0.00000
"한강","의암댐2",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","의암댐3",생물화학적산소요구량 BOD (㎎/ℓ),-,-,0.2
"한강","의암댐3",용존산소 DO (㎎/ℓ),-,-,12.9
"한강","의암댐3",수온 (℃),-,-,7.2
"한강","의암댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","의암댐3",시안 CN (㎎/ℓ),-,-,0.00
"한강","의암댐3",납 Pb (㎎/ℓ),-,-,0.00458
"한강","의암댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","의암댐3",비소 As (㎎/ℓ),-,-,0.00000
"한강","의암댐3",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","청평댐1",생물화학적산소요구량 BOD (㎎/ℓ),0.3,0.7,0.4
"한강","청평댐1",용존산소 DO (㎎/ℓ),12.9,13.5,12.8
"한강","청평댐1",수온 (℃),4.4,5.3,8.3
"한강","청평댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","청평댐1",시안 CN (㎎/ℓ),-,-,0.00
"한강","청평댐1",납 Pb (㎎/ℓ),-,-,0.00000
"한강","청평댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","청평댐1",비소 As (㎎/ℓ),-,-,0.00000
"한강","청평댐1",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","청평댐2",생물화학적산소요구량 BOD (㎎/ℓ),0.3,0.7,0.5
"한강","청평댐2",용존산소 DO (㎎/ℓ),13.1,13.6,12.7
"한강","청평댐2",수온 (℃),3.0,4.9,8.8
"한강","청평댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","청평댐2",시안 CN (㎎/ℓ),-,-,0.00
"한강","청평댐2",납 Pb (㎎/ℓ),-,-,0.00000
"한강","청평댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","청평댐2",비소 As (㎎/ℓ),-,-,0.00000
"한강","청평댐2",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","청평댐3",생물화학적산소요구량 BOD (㎎/ℓ),0.5,0.4,0.5
"한강","청평댐3",용존산소 DO (㎎/ℓ),13.1,13.6,13.2
"한강","청평댐3",수온 (℃),3.2,4.8,9.0
"한강","청평댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","청평댐3",시안 CN (㎎/ℓ),-,-,0.00
"한강","청평댐3",납 Pb (㎎/ℓ),-,-,0.00000
"한강","청평댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","청평댐3",비소 As (㎎/ℓ),-,-,0.00000
"한강","청평댐3",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","팔당댐1",생물화학적산소요구량 BOD (㎎/ℓ),0.9,1.3,0.9
"한강","팔당댐1",용존산소 DO (㎎/ℓ),13.1,13.3,11.8
"한강","팔당댐1",수온 (℃),4.0,5.1,9.1
"한강","팔당댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","팔당댐1",시안 CN (㎎/ℓ),-,-,0.00
"한강","팔당댐1",납 Pb (㎎/ℓ),-,-,0.00000
"한강","팔당댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","팔당댐1",비소 As (㎎/ℓ),-,-,0.00000
"한강","팔당댐1",수은 Hg (㎎/ℓ),-,-,0.0000037
"한강","팔당댐2",생물화학적산소요구량 BOD (㎎/ℓ),1.0,1.3,1.3
"한강","팔당댐2",용존산소 DO (㎎/ℓ),12.7,13.5,11.9
"한강","팔당댐2",수온 (℃),3.3,4.2,7.7
"한강","팔당댐2",카드뮴 Cd (㎎/ℓ),0.00000,0.00000,0.00000
"한강","팔당댐2",시안 CN (㎎/ℓ),0.00,0.00,0.00
"한강","팔당댐2",납 Pb (㎎/ℓ),0.00000,0.00000,0.00000
"한강","팔당댐2",6가크롬 Cr6+ (㎎/ℓ),0.000,0.000,0.000
"한강","팔당댐2",비소 As (㎎/ℓ),0.00000,0.00000,0.00000
"한강","팔당댐2",수은 Hg (㎎/ℓ),0.0000024,0.0000017,0.0000033
"한강","팔당댐3",생물화학적산소요구량 BOD (㎎/ℓ),0.9,1.6,1.6
"한강","팔당댐3",용존산소 DO (㎎/ℓ),13.1,14.0,12.1
"한강","팔당댐3",수온 (℃),3.4,4.8,9.1
"한강","팔당댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","팔당댐3",시안 CN (㎎/ℓ),-,-,0.00
"한강","팔당댐3",납 Pb (㎎/ℓ),-,-,0.00000
"한강","팔당댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","팔당댐3",비소 As (㎎/ℓ),-,-,0.00000
"한강","팔당댐3",수은 Hg (㎎/ℓ),-,-,0.0000033
"한강","팔당댐4",생물화학적산소요구량 BOD (㎎/ℓ),0.9,1.0,1.1
"한강","팔당댐4",용존산소 DO (㎎/ℓ),13.0,13.7,13.0
"한강","팔당댐4",수온 (℃),3.1,4.0,7.1
"한강","팔당댐4",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","팔당댐4",시안 CN (㎎/ℓ),-,-,0.00
"한강","팔당댐4",납 Pb (㎎/ℓ),-,-,0.00000
"한강","팔당댐4",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","팔당댐4",비소 As (㎎/ℓ),-,-,0.00000
"한강","팔당댐4",수은 Hg (㎎/ℓ),-,-,0.0000025
"한강","팔당댐5",생물화학적산소요구량 BOD (㎎/ℓ),1.2,1.9,2.6
"한강","팔당댐5",용존산소 DO (㎎/ℓ),12.5,12.7,11.8
"한강","팔당댐5",수온 (℃),2.9,4.2,9.4
"한강","팔당댐5",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","팔당댐5",시안 CN (㎎/ℓ),-,-,0.00
"한강","팔당댐5",납 Pb (㎎/ℓ),-,-,0.00000
"한강","팔당댐5",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","팔당댐5",비소 As (㎎/ℓ),-,-,0.00000
"한강","팔당댐5",수은 Hg (㎎/ℓ),-,-,0.0000034
"한강","충주댐1",생물화학적산소요구량 BOD (㎎/ℓ),0.4,0.6,0.5
"한강","충주댐1",용존산소 DO (㎎/ℓ),10.5,11.7,11.8
"한강","충주댐1",수온 (℃),8.0,6.2,6.7
"한강","충주댐1",카드뮴 Cd (㎎/ℓ),0.00284,0.00000,0.00000
"한강","충주댐1",시안 CN (㎎/ℓ),0.00,0.00,0.00
"한강","충주댐1",납 Pb (㎎/ℓ),0.00201,0.00096,0.00373
"한강","충주댐1",6가크롬 Cr6+ (㎎/ℓ),0.000,0.000,0.000
"한강","충주댐1",비소 As (㎎/ℓ),0.00000,0.00000,0.00000
"한강","충주댐1",수은 Hg (㎎/ℓ),0.0000000,0.0000000,0.0000000
"한강","충주댐2",생물화학적산소요구량 BOD (㎎/ℓ),2.9,2.0,2.1
"한강","충주댐2",용존산소 DO (㎎/ℓ),10.5,11.9,12.7
"한강","충주댐2",수온 (℃),8.6,6.2,5.8
"한강","충주댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","충주댐2",시안 CN (㎎/ℓ),-,-,0.00
"한강","충주댐2",납 Pb (㎎/ℓ),-,-,0.00000
"한강","충주댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","충주댐2",비소 As (㎎/ℓ),-,-,0.00000
"한강","충주댐2",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","충주댐3",생물화학적산소요구량 BOD (㎎/ℓ),2.7,1.9,2.1
"한강","충주댐3",용존산소 DO (㎎/ℓ),10.1,11.2,12.4
"한강","충주댐3",수온 (℃),9.3,6.7,6.2
"한강","충주댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","충주댐3",시안 CN (㎎/ℓ),-,-,0.00
"한강","충주댐3",납 Pb (㎎/ℓ),-,-,0.00000
"한강","충주댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","충주댐3",비소 As (㎎/ℓ),-,-,0.00000
"한강","충주댐3",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","충주댐4",생물화학적산소요구량 BOD (㎎/ℓ),3.0,2.3,2.2
"한강","충주댐4",용존산소 DO (㎎/ℓ),11.3,12.5,11.8
"한강","충주댐4",수온 (℃),6.8,5.2,6.0
"한강","충주댐4",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","충주댐4",시안 CN (㎎/ℓ),-,-,0.00
"한강","충주댐4",납 Pb (㎎/ℓ),-,-,0.00000
"한강","충주댐4",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","충주댐4",비소 As (㎎/ℓ),-,-,0.00000
"한강","충주댐4",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","충주조정지댐1",생물화학적산소요구량 BOD (㎎/ℓ),3.1,3.0,2.2
"한강","충주조정지댐1",용존산소 DO (㎎/ℓ),11.0,12.8,12.4
"한강","충주조정지댐1",수온 (℃),6.8,5.6,9.0
"한강","충주조정지댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","충주조정지댐1",시안 CN (㎎/ℓ),-,-,0.00
"한강","충주조정지댐1",납 Pb (㎎/ℓ),-,-,0.00000
"한강","충주조정지댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","충주조정지댐1",비소 As (㎎/ℓ),-,-,0.00000
"한강","충주조정지댐1",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","충주조정지댐2",생물화학적산소요구량 BOD (㎎/ℓ),3.0,2.9,2.2
"한강","충주조정지댐2",용존산소 DO (㎎/ℓ),11.0,13.1,11.8
"한강","충주조정지댐2",수온 (℃),7.7,5.6,9.0
"한강","충주조정지댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","충주조정지댐2",시안 CN (㎎/ℓ),-,-,0.00
"한강","충주조정지댐2",납 Pb (㎎/ℓ),-,-,0.00000
"한강","충주조정지댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","충주조정지댐2",비소 As (㎎/ℓ),-,-,0.00000
"한강","충주조정지댐2",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","괴산댐1",생물화학적산소요구량 BOD (㎎/ℓ),0.5,1.7,0.4
"한강","괴산댐1",용존산소 DO (㎎/ℓ),12.7,12.8,11.7
"한강","괴산댐1",수온 (℃),4.4,5.0,9.0
"한강","괴산댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","괴산댐1",시안 CN (㎎/ℓ),-,-,0.00
"한강","괴산댐1",납 Pb (㎎/ℓ),-,-,0.00482
"한강","괴산댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","괴산댐1",비소 As (㎎/ℓ),-,-,0.00000
"한강","괴산댐1",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","괴산댐2",생물화학적산소요구량 BOD (㎎/ℓ),0.4,1.4,0.4
"한강","괴산댐2",용존산소 DO (㎎/ℓ),13.6,13.7,11.6
"한강","괴산댐2",수온 (℃),3.5,4.3,8.2
"한강","괴산댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","괴산댐2",시안 CN (㎎/ℓ),-,-,0.00
"한강","괴산댐2",납 Pb (㎎/ℓ),-,-,0.00488
"한강","괴산댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","괴산댐2",비소 As (㎎/ℓ),-,-,0.00000
"한강","괴산댐2",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","괴산댐3",생물화학적산소요구량 BOD (㎎/ℓ),-,-,0.3
"한강","괴산댐3",용존산소 DO (㎎/ℓ),-,-,11.5
"한강","괴산댐3",수온 (℃),-,-,9.6
"한강","괴산댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","괴산댐3",시안 CN (㎎/ℓ),-,-,0.00
"한강","괴산댐3",납 Pb (㎎/ℓ),-,-,0.00515
"한강","괴산댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","괴산댐3",비소 As (㎎/ℓ),-,-,0.00000
"한강","괴산댐3",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","횡성댐1",생물화학적산소요구량 BOD (㎎/ℓ),2.2,2.3,1.8
"한강","횡성댐1",용존산소 DO (㎎/ℓ),9.0,9.0,9.1
"한강","횡성댐1",수온 (℃),4.1,4.3,4.4
"한강","횡성댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","횡성댐1",시안 CN (㎎/ℓ),-,-,0.00
"한강","횡성댐1",납 Pb (㎎/ℓ),-,-,0.00000
"한강","횡성댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","횡성댐1",비소 As (㎎/ℓ),-,-,0.00000
"한강","횡성댐1",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","횡성댐2",생물화학적산소요구량 BOD (㎎/ℓ),2.1,2.2,2.2
"한강","횡성댐2",용존산소 DO (㎎/ℓ),9.2,9.1,11.3
"한강","횡성댐2",수온 (℃),4.1,4.3,4.6
"한강","횡성댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","횡성댐2",시안 CN (㎎/ℓ),-,-,0.00
"한강","횡성댐2",납 Pb (㎎/ℓ),-,-,0.00000
"한강","횡성댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","횡성댐2",비소 As (㎎/ℓ),-,-,0.00000
"한강","횡성댐2",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","횡성댐3",생물화학적산소요구량 BOD (㎎/ℓ),1.6,-,3.1
"한강","횡성댐3",용존산소 DO (㎎/ℓ),9.4,-,10.9
"한강","횡성댐3",수온 (℃),4.8,-,5.5
"한강","횡성댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","횡성댐3",시안 CN (㎎/ℓ),-,-,0.00
"한강","횡성댐3",납 Pb (㎎/ℓ),-,-,0.00000
"한강","횡성댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","횡성댐3",비소 As (㎎/ℓ),-,-,0.00000
"한강","횡성댐3",수은 Hg (㎎/ℓ),-,-,0.0000000
"한강","광동댐",생물화학적산소요구량 BOD (㎎/ℓ),1.7,1.6,0.9
"한강","광동댐",용존산소 DO (㎎/ℓ),17.4,18.6,19.4
"한강","광동댐",수온 (℃),0.0,0.0,1.3
"한강","광동댐",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"한강","광동댐",시안 CN (㎎/ℓ),-,-,0.00
"한강","광동댐",납 Pb (㎎/ℓ),-,-,0.00000
"한강","광동댐",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"한강","광동댐",비소 As (㎎/ℓ),-,-,0.00000
"한강","광동댐",수은 Hg (㎎/ℓ),-,-,0.0000000
"낙동강","안동댐1",생물화학적산소요구량 BOD (㎎/ℓ),0.8,0.8,0.8
"낙동강","안동댐1",용존산소 DO (㎎/ℓ),7.3,7.7,8.9
"낙동강","안동댐1",수온 (℃),7.6,6.1,6.2
"낙동강","안동댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"낙동강","안동댐1",시안 CN (㎎/ℓ),-,-,0.00
"낙동강","안동댐1",납 Pb (㎎/ℓ),-,-,0.00000
"낙동강","안동댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"낙동강","안동댐1",비소 As (㎎/ℓ),-,-,0.00000
"낙동강","안동댐1",수은 Hg (㎎/ℓ),-,-,0.0000000
"낙동강","안동댐2",생물화학적산소요구량 BOD (㎎/ℓ),1.1,0.7,0.6
"낙동강","안동댐2",용존산소 DO (㎎/ℓ),7.9,10.2,9.9
"낙동강","안동댐2",수온 (℃),7.8,6.2,6.3
"낙동강","안동댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"낙동강","안동댐2",시안 CN (㎎/ℓ),-,-,0.00
"낙동강","안동댐2",납 Pb (㎎/ℓ),-,-,0.00000
"낙동강","안동댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"낙동강","안동댐2",비소 As (㎎/ℓ),-,-,0.00000
"낙동강","안동댐2",수은 Hg (㎎/ℓ),-,-,0.0000000
"낙동강","안동댐3",생물화학적산소요구량 BOD (㎎/ℓ),0.9,0.8,0.6
"낙동강","안동댐3",용존산소 DO (㎎/ℓ),9.9,10.8,10.5
"낙동강","안동댐3",수온 (℃),8.2,6.1,6.3
"낙동강","안동댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"낙동강","안동댐3",시안 CN (㎎/ℓ),-,-,0.00
"낙동강","안동댐3",납 Pb (㎎/ℓ),-,-,0.00000
"낙동강","안동댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"낙동강","안동댐3",비소 As (㎎/ℓ),-,-,0.00000
"낙동강","안동댐3",수은 Hg (㎎/ℓ),-,-,0.0000000
"낙동강","임하댐1",생물화학적산소요구량 BOD (㎎/ℓ),1.0,0.8,0.5
"낙동강","임하댐1",용존산소 DO (㎎/ℓ),6.1,8.6,9.4
"낙동강","임하댐1",수온 (℃),7.4,5.7,5.7
"낙동강","임하댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"낙동강","임하댐1",시안 CN (㎎/ℓ),-,-,0.00
"낙동강","임하댐1",납 Pb (㎎/ℓ),-,-,0.00000
"낙동강","임하댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"낙동강","임하댐1",비소 As (㎎/ℓ),-,-,0.00000
"낙동강","임하댐1",수은 Hg (㎎/ℓ),-,-,0.0000000
"낙동강","임하댐2",생물화학적산소요구량 BOD (㎎/ℓ),1.1,0.9,0.7
"낙동강","임하댐2",용존산소 DO (㎎/ℓ),9.1,10.3,10.1
"낙동강","임하댐2",수온 (℃),7.9,5.7,6.0
"낙동강","임하댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"낙동강","임하댐2",시안 CN (㎎/ℓ),-,-,0.00
"낙동강","임하댐2",납 Pb (㎎/ℓ),-,-,0.00000
"낙동강","임하댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"낙동강","임하댐2",비소 As (㎎/ℓ),-,-,0.00000
"낙동강","임하댐2",수은 Hg (㎎/ℓ),-,-,0.0000000
"낙동강","임하댐3",생물화학적산소요구량 BOD (㎎/ℓ),1.0,0.9,0.7
"낙동강","임하댐3",용존산소 DO (㎎/ℓ),9.3,11.0,10.4
"낙동강","임하댐3",수온 (℃),7.4,5.2,5.5
"낙동강","임하댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000
"낙동강","임하댐3",시안 CN (㎎/ℓ),-,-,0.00
"낙동강","임하댐3",납 Pb (㎎/ℓ),-,-,0.00000
"낙동강","임하댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000
"낙동강","임하댐3",비소 As (㎎/ℓ),-,-,0.00000
"낙동강","임하댐3",수은 Hg (㎎/ℓ),-,-,0.0000000
"낙동강","영천댐1",생물화학적산소요구량 BOD (㎎/ℓ),3.6,3.3,2.3
