"수계별(1)","수계별(2)",항목,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12
"한강","소양강댐2",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","소양강댐2",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","소양강댐2",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐2",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","소양강댐3",생물화학적산소요구량 BOD (㎎/ℓ),1.7,1.4,0.9,0.9,0.9,0.2,0.7,0.8,0.4
"한강","소양강댐3",용존산소 DO (㎎/ℓ),10.7,9.8,8.8,6.9,7.4,5.0,5.5,7.8,9.4
"한강","소양강댐3",수온 (℃),6.2,7.7,9.3,12.4,17.8,17.7,17.8,17.7,13.0
"한강","소양강댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐3",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","소양강댐3",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","소양강댐3",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐3",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","소양강댐4",생물화학적산소요구량 BOD (㎎/ℓ),1.6,1.5,1.2,1.5,1.1,0.9,1.0,1.1,1.2
"한강","소양강댐4",용존산소 DO (㎎/ℓ),11.4,9.5,6.9,7.8,8.1,7.9,9.1,9.5,10.0
"한강","소양강댐4",수온 (℃),7.4,10.9,21.3,25.9,28.0,25.0,20.5,16.6,12.2
"한강","소양강댐4",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐4",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","소양강댐4",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐4",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","소양강댐4",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐4",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","소양강댐5",생물화학적산소요구량 BOD (㎎/ℓ),1.6,1.5,0.8,1.2,1.0,0.7,0.7,1.1,1.4
"한강","소양강댐5",용존산소 DO (㎎/ℓ),11.7,9.7,5.7,8.1,6.5,6.2,8.2,8.8,10.4
"한강","소양강댐5",수온 (℃),6.8,10.7,13.4,23.1,25.8,25.0,21.4,17.6,12.5
"한강","소양강댐5",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐5",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","소양강댐5",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐5",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","소양강댐5",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","소양강댐5",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","의암댐1",생물화학적산소요구량 BOD (㎎/ℓ),1.5,1.3,1.1,1.2,1.2,0.6,0.8,1.0,0.7
"한강","의암댐1",용존산소 DO (㎎/ℓ),12.2,11.7,11.1,10.6,10.6,9.7,9.6,10.5,12.3
"한강","의암댐1",수온 (℃),10.9,13.2,15.0,16.5,20.1,19.1,15.8,11.6,6.2
"한강","의암댐1",카드뮴 Cd (㎎/ℓ),0.00000,0.00000,0.00013,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"한강","의암댐1",시안 CN (㎎/ℓ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"한강","의암댐1",납 Pb (㎎/ℓ),0.00327,0.00000,0.00045,0.00000,0.00000,0.00101,0.00106,0.00031,0.00388
"한강","의암댐1",6가크롬 Cr6+ (㎎/ℓ),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"한강","의암댐1",비소 As (㎎/ℓ),0.00010,0.00000,0.00011,0.00375,0.00000,0.00000,0.00000,0.00000,0.00008
"한강","의암댐1",수은 Hg (㎎/ℓ),0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
"한강","의암댐2",생물화학적산소요구량 BOD (㎎/ℓ),2.4,1.9,2.6,1.3,2.0,0.7,1.4,1.1,0.5
"한강","의암댐2",용존산소 DO (㎎/ℓ),13.3,10.5,11.4,10.1,15.0,12.2,11.4,10.7,11.6
"한강","의암댐2",수온 (℃),8.9,3.6,23.4,23.9,32.4,26.0,17.4,12.5,7.4
"한강","의암댐2",시안 CN (㎎/ℓ),-,0.00,0.00,-,-,0.00,-,-,0.00
"한강","의암댐3",생물화학적산소요구량 BOD (㎎/ℓ),2.3,1.4,1.4,1.3,1.6,0.5,1.5,0.9,0.3
"한강","의암댐3",용존산소 DO (㎎/ℓ),13.1,10.4,10.8,9.1,10.8,9.3,11.2,10.2,11.5
"한강","의암댐3",수온 (℃),9.0,2.1,22.1,23.6,33.8,26.1,17.2,12.6,6.4
"한강","의암댐3",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","청평댐1",생물화학적산소요구량 BOD (㎎/ℓ),0.6,1.0,0.9,0.7,1.0,0.8,0.5,0.4,0.7
"한강","청평댐1",용존산소 DO (㎎/ℓ),11.6,10.1,9.1,9.6,8.8,8.3,8.8,10.5,12.5
"한강","청평댐1",수온 (℃),8.4,14.6,18.4,20.1,23.6,21.3,16.6,10.4,6.5
"한강","청평댐1",카드뮴 Cd (㎎/ℓ),0.00000,0.00000,0.00000,-,-,0.00000,-,-,0.00000
"한강","청평댐1",시안 CN (㎎/ℓ),0.00,0.00,0.00,-,-,0.00,-,-,0.00
"한강","청평댐1",납 Pb (㎎/ℓ),0.00000,0.00000,0.00000,-,-,0.00000,-,-,0.00000
"한강","청평댐1",6가크롬 Cr6+ (㎎/ℓ),0.000,0.000,0.000,-,-,0.000,-,-,0.000
"한강","청평댐1",비소 As (㎎/ℓ),0.00000,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","청평댐1",수은 Hg (㎎/ℓ),0.0000000,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","청평댐2",생물화학적산소요구량 BOD (㎎/ℓ),0.7,1.6,0.9,0.8,0.9,0.8,0.6,0.3,-
"한강","청평댐2",용존산소 DO (㎎/ℓ),11.5,10.3,9.9,9.4,8.9,8.9,9.2,10.7,-
"한강","청평댐2",수온 (℃),8.5,15.1,18.4,20.2,23.8,21.5,16.5,10.1,-
"한강","청평댐2",카드뮴 Cd (㎎/ℓ),0.00000,0.00000,0.00000,-,-,0.00000,-,-,-
"한강","청평댐2",시안 CN (㎎/ℓ),0.00,0.00,0.00,-,-,0.00,-,-,-
"한강","청평댐2",납 Pb (㎎/ℓ),0.00000,0.00000,0.00000,-,-,0.00000,-,-,-
"한강","청평댐2",6가크롬 Cr6+ (㎎/ℓ),0.000,0.000,0.000,-,-,0.000,-,-,-
"한강","청평댐2",비소 As (㎎/ℓ),0.00000,-,0.00000,-,-,0.00000,-,-,-
"한강","청평댐2",수은 Hg (㎎/ℓ),0.0000000,-,0.0000000,-,-,0.0000000,-,-,-
"한강","청평댐3",생물화학적산소요구량 BOD (㎎/ℓ),1.2,1.7,1.2,1.0,1.4,1.3,0.5,0.4,0.8
"한강","청평댐3",용존산소 DO (㎎/ℓ),11.5,10.5,10.5,9.1,8.8,9.3,9.2,10.9,12.8
"한강","청평댐3",수온 (℃),9.8,16.0,18.8,23.9,23.9,22.1,16.8,9.5,5.5
"한강","청평댐3",카드뮴 Cd (㎎/ℓ),0.00000,0.00000,0.00000,-,-,0.00000,-,-,0.00000
"한강","청평댐3",시안 CN (㎎/ℓ),0.00,0.00,0.00,-,-,0.00,-,-,0.00
"한강","청평댐3",납 Pb (㎎/ℓ),0.00000,0.00000,0.00000,-,-,0.00000,-,-,0.00000
"한강","청평댐3",6가크롬 Cr6+ (㎎/ℓ),0.000,0.000,0.000,-,-,0.000,-,-,0.000
"한강","청평댐3",비소 As (㎎/ℓ),0.00000,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","청평댐3",수은 Hg (㎎/ℓ),0.0000000,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","팔당댐1",생물화학적산소요구량 BOD (㎎/ℓ),1.4,2.5,3.1,1.8,2.0,1.0,0.5,0.6,0.6
"한강","팔당댐1",용존산소 DO (㎎/ℓ),12.2,10.1,9.0,6.6,6.5,7.6,8.9,10.6,12.9
"한강","팔당댐1",수온 (℃),10.9,18.8,22.4,24.7,26.6,22.2,17.6,11.5,5.1
"한강","팔당댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐1",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","팔당댐1",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","팔당댐1",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐1",수은 Hg (㎎/ℓ),-,-,0.0000020,-,-,0.0000020,-,-,0.0000039
"한강","팔당댐2",생물화학적산소요구량 BOD (㎎/ℓ),1.5,1.2,1.3,1.1,1.9,1.3,1.0,0.8,0.7
"한강","팔당댐2",용존산소 DO (㎎/ℓ),12.1,9.3,8.3,6.5,7.8,7.7,8.2,9.7,12.0
"한강","팔당댐2",수온 (℃),10.4,16.0,19.4,22.2,23.7,21.7,18.2,12.2,5.2
"한강","팔당댐2",카드뮴 Cd (㎎/ℓ),-,0.00000,0.00000,0.00000,0.00000,0.00000,-,0.00000,0.00000
"한강","팔당댐2",시안 CN (㎎/ℓ),-,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
"한강","팔당댐2",납 Pb (㎎/ℓ),-,0.00000,0.00000,0.00000,0.00000,0.00000,-,0.00000,0.00000
"한강","팔당댐2",6가크롬 Cr6+ (㎎/ℓ),-,0.000,0.000,0.000,0.000,0.000,-,0.000,0.000
"한강","팔당댐2",비소 As (㎎/ℓ),-,0.00000,0.00000,0.00000,0.00000,0.00000,-,0.00000,0.00000
"한강","팔당댐2",수은 Hg (㎎/ℓ),-,0.0000009,0.0000017,0.0000011,0.0000022,0.0000017,-,0.0000023,0.0000026
"한강","팔당댐3",생물화학적산소요구량 BOD (㎎/ℓ),1.8,2.5,2.8,2.3,3.2,1.9,1.1,0.9,0.6
"한강","팔당댐3",용존산소 DO (㎎/ℓ),12.5,10.4,8.9,6.9,7.9,7.8,8.9,10.4,12.8
"한강","팔당댐3",수온 (℃),11.1,18.2,21.8,24.4,25.6,22.5,18.0,11.6,5.1
"한강","팔당댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐3",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","팔당댐3",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","팔당댐3",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐3",수은 Hg (㎎/ℓ),-,-,0.0000020,-,-,0.0000012,-,-,0.0000036
"한강","팔당댐4",생물화학적산소요구량 BOD (㎎/ℓ),1.3,1.5,1.5,1.1,2.3,1.4,0.9,0.9,0.8
"한강","팔당댐4",용존산소 DO (㎎/ℓ),12.3,10.8,10.8,8.2,10.1,8.6,9.0,10.0,12.4
"한강","팔당댐4",수온 (℃),10.3,17.5,20.6,23.7,25.0,21.8,18.0,12.4,5.3
"한강","팔당댐4",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐4",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","팔당댐4",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐4",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","팔당댐4",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐4",수은 Hg (㎎/ℓ),-,-,0.0000019,-,-,0.0000013,-,-,0.0000024
"한강","팔당댐5",생물화학적산소요구량 BOD (㎎/ℓ),3.5,1.8,1.5,2.2,2.2,2.0,1.9,1.9,1.7
"한강","팔당댐5",용존산소 DO (㎎/ℓ),14.0,8.7,9.4,7.9,10.5,9.4,9.3,10.8,13.0
"한강","팔당댐5",수온 (℃),12.7,20.3,24.0,26.4,27.4,22.7,18.0,11.2,4.1
"한강","팔당댐5",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐5",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","팔당댐5",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐5",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","팔당댐5",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐5",수은 Hg (㎎/ℓ),-,-,0.0000020,-,-,0.0000011,-,-,0.0000023
"한강","충주댐1",생물화학적산소요구량 BOD (㎎/ℓ),1.0,1.0,0.5,0.4,0.7,0.4,0.4,0.5,0.4
"한강","충주댐1",용존산소 DO (㎎/ℓ),11.9,10.9,9.8,8.5,6.4,5.4,6.4,7.9,9.4
"한강","충주댐1",수온 (℃),7.6,11.6,13.8,15.8,22.2,19.8,17.6,16.8,11.6
"한강","충주댐1",카드뮴 Cd (㎎/ℓ),0.00000,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00015,0.00000
"한강","충주댐1",시안 CN (㎎/ℓ),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"한강","충주댐1",납 Pb (㎎/ℓ),0.00473,0.00007,0.00063,0.00000,0.00000,0.00047,0.00157,0.00000,0.00268
"한강","충주댐1",6가크롬 Cr6+ (㎎/ℓ),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"한강","충주댐1",비소 As (㎎/ℓ),0.00440,0.00000,0.00090,0.00569,0.00000,0.00000,0.00294,0.00180,0.00076
"한강","충주댐1",수은 Hg (㎎/ℓ),0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
"한강","충주댐2",생물화학적산소요구량 BOD (㎎/ℓ),2.5,1.6,1.6,2.3,1.4,1.5,3.0,2.1,1.1
"한강","충주댐2",용존산소 DO (㎎/ℓ),11.4,9.4,5.4,4.9,6.8,5.9,7.7,8.2,9.5
"한강","충주댐2",수온 (℃),6.1,12.0,15.4,20.9,23.2,24.2,22.6,18.7,13.4
"한강","충주댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐2",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","충주댐2",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","충주댐2",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐2",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","충주댐3",생물화학적산소요구량 BOD (㎎/ℓ),2.9,1.8,1.3,2.0,1.3,1.5,2.6,1.9,1.0
"한강","충주댐3",용존산소 DO (㎎/ℓ),11.7,10.7,9.3,7.9,4.0,5.0,5.2,5.8,9.0
"한강","충주댐3",수온 (℃),6.2,10.6,12.0,16.4,20.4,20.9,19.7,17.9,13.6
"한강","충주댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐3",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","충주댐3",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","충주댐3",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐3",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","충주댐4",생물화학적산소요구량 BOD (㎎/ℓ),2.5,2.3,1.5,2.6,1.6,2.9,3.9,2.1,1.4
"한강","충주댐4",용존산소 DO (㎎/ℓ),11.0,10.3,7.0,9.2,9.5,10.1,8.4,8.8,10.0
"한강","충주댐4",수온 (℃),7.2,15.9,21.8,25.9,24.1,26.5,23.6,18.4,11.9
"한강","충주댐4",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐4",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","충주댐4",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐4",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","충주댐4",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐4",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","충주조정지댐1",생물화학적산소요구량 BOD (㎎/ℓ),2.9,2.2,1.5,2.5,2.2,1.9,2.1,1.7,1.9
"한강","충주조정지댐1",용존산소 DO (㎎/ℓ),12.1,11.2,11.3,11.6,12.5,7.0,10.0,9.6,10.0
"한강","충주조정지댐1",수온 (℃),7.6,14.3,16.3,18.0,26.5,18.5,20.6,17.3,10.3
"한강","충주조정지댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주조정지댐1",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","충주조정지댐1",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주조정지댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","충주조정지댐1",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주조정지댐1",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","충주조정지댐2",생물화학적산소요구량 BOD (㎎/ℓ),2.9,2.1,1.6,2.3,3.7,1.7,1.6,1.3,1.7
"한강","충주조정지댐2",용존산소 DO (㎎/ℓ),13.3,11.6,11.1,11.0,14.1,9.9,11.7,9.2,10.0
"한강","충주조정지댐2",수온 (℃),7.1,18.4,21.3,23.1,30.5,23.4,22.3,17.4,11.1
