강명,항목,월,2019,2020
금강,용존산소 DO (㎎/ℓ),12,9.126667,8.926666
금강,카드뮴 Cd (㎎/ℓ),01,0.0,0.0
금강,카드뮴 Cd (㎎/ℓ),02,0.0,0.0
금강,카드뮴 Cd (㎎/ℓ),03,0.0,0.0
금강,카드뮴 Cd (㎎/ℓ),04,0.0,0.0
금강,카드뮴 Cd (㎎/ℓ),05,0.0,0.0
금강,카드뮴 Cd (㎎/ℓ),06,0.0,0.0
금강,카드뮴 Cd (㎎/ℓ),07,0.0,0.0
금강,카드뮴 Cd (㎎/ℓ),08,0.0,0.0
금강,카드뮴 Cd (㎎/ℓ),09,0.0,0.0
금강,카드뮴 Cd (㎎/ℓ),10,0.0,0.0
금강,카드뮴 Cd (㎎/ℓ),11,0.0,0.0
금강,카드뮴 Cd (㎎/ℓ),12,0.0,0.0
기타,6가크롬 Cr6+ (㎎/ℓ),01,0.0,0.0
기타,6가크롬 Cr6+ (㎎/ℓ),02,0.0,0.0
기타,6가크롬 Cr6+ (㎎/ℓ),03,0.0,0.0
기타,6가크롬 Cr6+ (㎎/ℓ),04,0.0,0.0
기타,6가크롬 Cr6+ (㎎/ℓ),05,0.0,0.0
기타,6가크롬 Cr6+ (㎎/ℓ),06,0.0,0.0
기타,6가크롬 Cr6+ (㎎/ℓ),07,0.0,0.0
기타,6가크롬 Cr6+ (㎎/ℓ),08,0.0,0.0
기타,6가크롬 Cr6+ (㎎/ℓ),09,0.0,0.0
기타,6가크롬 Cr6+ (㎎/ℓ),10,0.0,0.0
기타,6가크롬 Cr6+ (㎎/ℓ),11,0.0,0.0
기타,6가크롬 Cr6+ (㎎/ℓ),12,0.0,0.0
기타,납 Pb (㎎/ℓ),01,0.0,0.0
기타,납 Pb (㎎/ℓ),02,0.0,0.0
기타,납 Pb (㎎/ℓ),03,0.00059265306,0.0007334694
기타,납 Pb (㎎/ℓ),04,0.00029183674,0.0
기타,납 Pb (㎎/ℓ),05,0.0,0.0
기타,납 Pb (㎎/ℓ),06,6.7346937e-06,9.510204e-05
기타,납 Pb (㎎/ℓ),07,0.0,0.0
기타,납 Pb (㎎/ℓ),08,0.0,0.0
기타,납 Pb (㎎/ℓ),09,9.877551e-05,0.0
기타,납 Pb (㎎/ℓ),10,0.0,0.0
기타,납 Pb (㎎/ℓ),11,0.0,0.0
기타,납 Pb (㎎/ℓ),12,0.0007065306,0.0
기타,비소 As (㎎/ℓ),01,0.0,0.0
기타,비소 As (㎎/ℓ),02,0.0,0.0
기타,비소 As (㎎/ℓ),03,0.0011342857,0.0014644898
기타,비소 As (㎎/ℓ),04,0.00029714286,0.0
기타,비소 As (㎎/ℓ),05,0.0,0.0
기타,비소 As (㎎/ℓ),06,0.002454694,0.0018787755
기타,비소 As (㎎/ℓ),07,0.0,0.0
기타,비소 As (㎎/ℓ),08,0.0,0.0
기타,비소 As (㎎/ℓ),09,0.0011138775,0.0009944898
기타,비소 As (㎎/ℓ),10,0.0,0.0
기타,비소 As (㎎/ℓ),11,0.0,0.0
기타,비소 As (㎎/ℓ),12,0.0017653061,0.0021112245
기타,생물화학적산소요구량 BOD (㎎/ℓ),01,1.2693877,1.7408164
기타,생물화학적산소요구량 BOD (㎎/ℓ),02,3.4102042,2.4469388
기타,생물화학적산소요구량 BOD (㎎/ℓ),03,3.5204082,3.0897958
기타,생물화학적산소요구량 BOD (㎎/ℓ),04,3.4346938,3.4408164
기타,생물화학적산소요구량 BOD (㎎/ℓ),05,3.3755102,3.6408162
기타,생물화학적산소요구량 BOD (㎎/ℓ),06,3.7816327,3.2673469
기타,생물화학적산소요구량 BOD (㎎/ℓ),07,3.487755,3.2469387
기타,생물화학적산소요구량 BOD (㎎/ℓ),08,3.8816326,1.8285714
기타,생물화학적산소요구량 BOD (㎎/ℓ),09,3.477551,2.4306123
기타,생물화학적산소요구량 BOD (㎎/ℓ),10,1.9040816,2.4755101
기타,생물화학적산소요구량 BOD (㎎/ℓ),11,1.9673469,2.344898
기타,생물화학적산소요구량 BOD (㎎/ℓ),12,2.179592,1.9632653
기타,수온 (℃),01,2.297959,4.132653
기타,수온 (℃),02,4.287755,5.2510204
기타,수온 (℃),03,8.663265,9.016327
기타,수온 (℃),04,12.8,12.938775
기타,수온 (℃),05,16.616327,18.822449
기타,수온 (℃),06,22.710203,22.17551
기타,수온 (℃),07,24.702042,24.014286
기타,수온 (℃),08,26.614286,19.406122
기타,수온 (℃),09,24.036736,22.865307
기타,수온 (℃),10,16.293877,18.079592
기타,수온 (℃),11,10.87551,12.528571
기타,수온 (℃),12,7.285714,6.1265306
기타,수은 Hg (㎎/ℓ),01,0.0,0.0
기타,수은 Hg (㎎/ℓ),02,0.0,0.0
기타,수은 Hg (㎎/ℓ),03,0.0,0.0
기타,수은 Hg (㎎/ℓ),04,0.0,0.0
기타,수은 Hg (㎎/ℓ),05,0.0,0.0
기타,수은 Hg (㎎/ℓ),06,0.0,0.0
기타,수은 Hg (㎎/ℓ),07,0.0,0.0
기타,수은 Hg (㎎/ℓ),08,0.0,4.2857142e-08
기타,수은 Hg (㎎/ℓ),09,0.0,0.0
기타,수은 Hg (㎎/ℓ),10,0.0,0.0
기타,수은 Hg (㎎/ℓ),11,0.0,0.0
기타,수은 Hg (㎎/ℓ),12,0.0,1.6857143e-06
기타,시안 CN (㎎/ℓ),01,0.0,0.0
기타,시안 CN (㎎/ℓ),02,0.0,0.0
기타,시안 CN (㎎/ℓ),03,0.0,0.0
기타,시안 CN (㎎/ℓ),04,0.0,0.0
기타,시안 CN (㎎/ℓ),05,0.0,0.0
기타,시안 CN (㎎/ℓ),06,0.0,0.0
기타,시안 CN (㎎/ℓ),07,0.0,0.0
기타,시안 CN (㎎/ℓ),08,0.0,0.0
기타,시안 CN (㎎/ℓ),09,0.0,0.0
기타,시안 CN (㎎/ℓ),10,0.0,0.0
기타,시안 CN (㎎/ℓ),11,0.0,0.0
기타,시안 CN (㎎/ℓ),12,0.0,0.0
기타,용존산소 DO (㎎/ℓ),01,6.3918366,10.587755
기타,용존산소 DO (㎎/ℓ),02,10.263266,11.704082
기타,용존산소 DO (㎎/ℓ),03,11.663265,12.734694
기타,용존산소 DO (㎎/ℓ),04,11.534694,10.697959
기타,용존산소 DO (㎎/ℓ),05,9.991837,10.12449
기타,용존산소 DO (㎎/ℓ),06,9.081633,8.755102
기타,용존산소 DO (㎎/ℓ),07,9.142858,9.469388
기타,용존산소 DO (㎎/ℓ),08,9.289796,7.577551
기타,용존산소 DO (㎎/ℓ),09,8.995918,8.634694
기타,용존산소 DO (㎎/ℓ),10,7.2918367,9.006123
기타,용존산소 DO (㎎/ℓ),11,7.6510205,10.1
기타,용존산소 DO (㎎/ℓ),12,11.146938,9.834694
기타,카드뮴 Cd (㎎/ℓ),01,0.0,0.0
기타,카드뮴 Cd (㎎/ℓ),02,0.0,0.0
기타,카드뮴 Cd (㎎/ℓ),03,6.388889e-05,0.00011673469
기타,카드뮴 Cd (㎎/ℓ),04,0.0010233333,0.0
기타,카드뮴 Cd (㎎/ℓ),05,0.0,0.0
기타,카드뮴 Cd (㎎/ℓ),06,5.6944446e-05,4.489796e-05
기타,카드뮴 Cd (㎎/ℓ),07,0.0,0.0
기타,카드뮴 Cd (㎎/ℓ),08,0.0,0.0
기타,카드뮴 Cd (㎎/ℓ),09,0.0002325,5.2040818e-05
기타,카드뮴 Cd (㎎/ℓ),10,0.0,0.0
기타,카드뮴 Cd (㎎/ℓ),11,0.0,0.0
기타,카드뮴 Cd (㎎/ℓ),12,0.00080916664,7.142857e-05
낙동강,6가크롬 Cr6+ (㎎/ℓ),01,0.0,0.0
낙동강,6가크롬 Cr6+ (㎎/ℓ),02,0.0,0.0
낙동강,6가크롬 Cr6+ (㎎/ℓ),03,0.0,0.0
낙동강,6가크롬 Cr6+ (㎎/ℓ),04,0.0,0.0
낙동강,6가크롬 Cr6+ (㎎/ℓ),05,0.0,0.0
낙동강,6가크롬 Cr6+ (㎎/ℓ),06,0.0,0.0
낙동강,6가크롬 Cr6+ (㎎/ℓ),07,0.0,0.0
낙동강,6가크롬 Cr6+ (㎎/ℓ),08,0.0,0.0
낙동강,6가크롬 Cr6+ (㎎/ℓ),09,0.00034782608,0.0
낙동강,6가크롬 Cr6+ (㎎/ℓ),10,0.0,0.0
낙동강,6가크롬 Cr6+ (㎎/ℓ),11,0.0,0.0
낙동강,6가크롬 Cr6+ (㎎/ℓ),12,0.0,0.0
낙동강,납 Pb (㎎/ℓ),01,0.0,0.0
낙동강,납 Pb (㎎/ℓ),02,0.0,0.0
낙동강,납 Pb (㎎/ℓ),03,0.0,0.00066333334
낙동강,납 Pb (㎎/ℓ),04,0.0,0.0
낙동강,납 Pb (㎎/ℓ),05,0.0,0.0
낙동강,납 Pb (㎎/ℓ),06,0.00010086956,0.00026866666
낙동강,납 Pb (㎎/ℓ),07,0.0,0.0
낙동강,납 Pb (㎎/ℓ),08,0.0,0.0
낙동강,납 Pb (㎎/ℓ),09,0.00022652173,0.000176
낙동강,납 Pb (㎎/ℓ),10,0.0,0.0
낙동강,납 Pb (㎎/ℓ),11,0.0,0.0
낙동강,납 Pb (㎎/ℓ),12,0.0002947826,4.6666668e-05
낙동강,비소 As (㎎/ℓ),01,0.0,0.0
낙동강,비소 As (㎎/ℓ),02,0.0,0.0
낙동강,비소 As (㎎/ℓ),03,0.0,0.0
낙동강,비소 As (㎎/ℓ),04,0.0,0.0
낙동강,비소 As (㎎/ℓ),05,0.0,0.0
낙동강,비소 As (㎎/ℓ),06,0.0,0.0
낙동강,비소 As (㎎/ℓ),07,0.0,0.0
낙동강,비소 As (㎎/ℓ),08,0.0,0.0
낙동강,비소 As (㎎/ℓ),09,0.0,0.0
낙동강,비소 As (㎎/ℓ),10,0.0,0.0
낙동강,비소 As (㎎/ℓ),11,0.0,0.0
낙동강,비소 As (㎎/ℓ),12,0.0,0.0
낙동강,생물화학적산소요구량 BOD (㎎/ℓ),01,1.3608695,1.2166667
낙동강,생물화학적산소요구량 BOD (㎎/ℓ),02,1.2913043,1.3533334
낙동강,생물화학적산소요구량 BOD (㎎/ℓ),03,1.5,1.3466667
낙동강,생물화학적산소요구량 BOD (㎎/ℓ),04,1.4304348,1.19
낙동강,생물화학적산소요구량 BOD (㎎/ℓ),05,1.6565218,1.24
낙동강,생물화학적산소요구량 BOD (㎎/ℓ),06,1.3695652,1.3233334
낙동강,생물화학적산소요구량 BOD (㎎/ℓ),07,1.3869566,1.3166667
낙동강,생물화학적산소요구량 BOD (㎎/ℓ),08,1.5782609,1.9566667
낙동강,생물화학적산소요구량 BOD (㎎/ℓ),09,1.7,1.46
낙동강,생물화학적산소요구량 BOD (㎎/ℓ),10,1.6,1.7166667
낙동강,생물화학적산소요구량 BOD (㎎/ℓ),11,1.5173913,1.3633333
낙동강,생물화학적산소요구량 BOD (㎎/ℓ),12,1.4652174,1.27
낙동강,수온 (℃),01,5.8608694,6.5333333
낙동강,수온 (℃),02,5.03913,5.943333
낙동강,수온 (℃),03,7.03913,7.8033333
낙동강,수온 (℃),04,9.482609,9.98
낙동강,수온 (℃),05,13.413043,13.69
낙동강,수온 (℃),06,16.104347,16.666666
낙동강,수온 (℃),07,17.882608,17.233334
낙동강,수온 (℃),08,21.034782,19.006666
낙동강,수온 (℃),09,20.3,19.08
낙동강,수온 (℃),10,17.06087,17.933332
낙동강,수온 (℃),11,15.286957,14.78
낙동강,수온 (℃),12,10.695652,10.416667
낙동강,수은 Hg (㎎/ℓ),01,0.0,0.0
낙동강,수은 Hg (㎎/ℓ),02,0.0,0.0
낙동강,수은 Hg (㎎/ℓ),03,0.0,0.0
낙동강,수은 Hg (㎎/ℓ),04,0.0,0.0
낙동강,수은 Hg (㎎/ℓ),05,0.0,0.0
낙동강,수은 Hg (㎎/ℓ),06,0.0,0.0
낙동강,수은 Hg (㎎/ℓ),07,0.0,0.0
낙동강,수은 Hg (㎎/ℓ),08,0.0,0.0
낙동강,수은 Hg (㎎/ℓ),09,0.0,0.0
낙동강,수은 Hg (㎎/ℓ),10,0.0,0.0
낙동강,수은 Hg (㎎/ℓ),11,0.0,0.0
낙동강,수은 Hg (㎎/ℓ),12,0.0,0.0
낙동강,시안 CN (㎎/ℓ),01,0.0,0.0
낙동강,시안 CN (㎎/ℓ),02,0.0,0.0
낙동강,시안 CN (㎎/ℓ),03,0.0,0.0
낙동강,시안 CN (㎎/ℓ),04,0.0,0.0
낙동강,시안 CN (㎎/ℓ),05,0.0,0.0
낙동강,시안 CN (㎎/ℓ),06,0.0,0.0
낙동강,시안 CN (㎎/ℓ),07,0.0,0.0
낙동강,시안 CN (㎎/ℓ),08,0.0,0.0
낙동강,시안 CN (㎎/ℓ),09,0.0,0.0
낙동강,시안 CN (㎎/ℓ),10,0.0,0.0
낙동강,시안 CN (㎎/ℓ),11,0.0,0.0
낙동강,시안 CN (㎎/ℓ),12,0.0,0.0
낙동강,용존산소 DO (㎎/ℓ),01,11.186956,10.113334
낙동강,용존산소 DO (㎎/ℓ),02,11.743478,11.42
낙동강,용존산소 DO (㎎/ℓ),03,11.369565,11.083333
낙동강,용존산소 DO (㎎/ℓ),04,10.852174,10.496667
낙동강,용존산소 DO (㎎/ℓ),05,9.626087,9.116667
낙동강,용존산소 DO (㎎/ℓ),06,8.717391,7.81
낙동강,용존산소 DO (㎎/ℓ),07,7.7173915,6.87
낙동강,용존산소 DO (㎎/ℓ),08,7.7391305,8.37
낙동강,용존산소 DO (㎎/ℓ),09,7.078261,6.673333
낙동강,용존산소 DO (㎎/ℓ),10,7.2217393,7.2266665
낙동강,용존산소 DO (㎎/ℓ),11,7.304348,8.013333
낙동강,용존산소 DO (㎎/ℓ),12,8.582608,9.07
낙동강,카드뮴 Cd (㎎/ℓ),01,0.0,0.0
낙동강,카드뮴 Cd (㎎/ℓ),02,0.0,0.0
낙동강,카드뮴 Cd (㎎/ℓ),03,0.0,0.0
낙동강,카드뮴 Cd (㎎/ℓ),04,0.0,0.0
낙동강,카드뮴 Cd (㎎/ℓ),05,0.0,0.0
낙동강,카드뮴 Cd (㎎/ℓ),06,0.0,0.0
낙동강,카드뮴 Cd (㎎/ℓ),07,0.0,0.0
낙동강,카드뮴 Cd (㎎/ℓ),08,0.0,0.0
낙동강,카드뮴 Cd (㎎/ℓ),09,0.0,0.0
낙동강,카드뮴 Cd (㎎/ℓ),10,0.0,0.0
낙동강,카드뮴 Cd (㎎/ℓ),11,0.0,0.0
낙동강,카드뮴 Cd (㎎/ℓ),12,0.0,0.0
만경강,6가크롬 Cr6+ (㎎/ℓ),01,0.0,0.0
만경강,6가크롬 Cr6+ (㎎/ℓ),02,0.0,0.0
만경강,6가크롬 Cr6+ (㎎/ℓ),03,0.0,0.0
만경강,6가크롬 Cr6+ (㎎/ℓ),04,0.0,0.0
만경강,6가크롬 Cr6+ (㎎/ℓ),05,0.0,0.0
만경강,6가크롬 Cr6+ (㎎/ℓ),06,0.0,0.0
만경강,6가크롬 Cr6+ (㎎/ℓ),07,0.0,0.0
만경강,6가크롬 Cr6+ (㎎/ℓ),08,0.0,0.0
만경강,6가크롬 Cr6+ (㎎/ℓ),09,0.0,0.0
만경강,6가크롬 Cr6+ (㎎/ℓ),10,0.0,0.0
만경강,6가크롬 Cr6+ (㎎/ℓ),11,0.0,0.0
만경강,6가크롬 Cr6+ (㎎/ℓ),12,0.0,0.0
만경강,납 Pb (㎎/ℓ),01,0.0,0.0
만경강,납 Pb (㎎/ℓ),02,0.0,0.0
만경강,납 Pb (㎎/ℓ),03,0.0,0.0
만경강,납 Pb (㎎/ℓ),04,0.0,0.0
만경강,납 Pb (㎎/ℓ),05,0.0,0.0
만경강,납 Pb (㎎/ℓ),06,0.0,0.0
만경강,납 Pb (㎎/ℓ),07,0.0,0.0
만경강,납 Pb (㎎/ℓ),08,0.0,1e-05
만경강,납 Pb (㎎/ℓ),09,0.0,0.0
만경강,납 Pb (㎎/ℓ),10,0.0,0.0
만경강,납 Pb (㎎/ℓ),11,0.0,0.0
만경강,납 Pb (㎎/ℓ),12,0.0,0.0
만경강,비소 As (㎎/ℓ),01,0.0,0.0
만경강,비소 As (㎎/ℓ),02,0.0,0.0
만경강,비소 As (㎎/ℓ),03,0.0,0.0
만경강,비소 As (㎎/ℓ),04,0.0,0.0
만경강,비소 As (㎎/ℓ),05,0.0,0.0
만경강,비소 As (㎎/ℓ),06,0.0,0.0
만경강,비소 As (㎎/ℓ),07,0.0,0.0
만경강,비소 As (㎎/ℓ),08,0.0,0.000144
만경강,비소 As (㎎/ℓ),09,0.0,0.0
만경강,비소 As (㎎/ℓ),10,0.0,0.0
만경강,비소 As (㎎/ℓ),11,0.0,0.0
만경강,비소 As (㎎/ℓ),12,0.0,0.0
만경강,생물화학적산소요구량 BOD (㎎/ℓ),01,0.32,0.26
만경강,생물화학적산소요구량 BOD (㎎/ℓ),02,0.82,0.7
만경강,생물화학적산소요구량 BOD (㎎/ℓ),03,0.64,0.52
만경강,생물화학적산소요구량 BOD (㎎/ℓ),04,0.7,0.44
만경강,생물화학적산소요구량 BOD (㎎/ℓ),05,0.88,0.42
만경강,생물화학적산소요구량 BOD (㎎/ℓ),06,0.46,0.24
만경강,생물화학적산소요구량 BOD (㎎/ℓ),07,0.32,0.54
만경강,생물화학적산소요구량 BOD (㎎/ℓ),08,0.98,2.58
만경강,생물화학적산소요구량 BOD (㎎/ℓ),09,0.76,0.86
만경강,생물화학적산소요구량 BOD (㎎/ℓ),10,1.54,0.5
만경강,생물화학적산소요구량 BOD (㎎/ℓ),11,0.58,0.38
만경강,생물화학적산소요구량 BOD (㎎/ℓ),12,0.4,0.24
만경강,수온 (℃),01,5.68,5.64
만경강,수온 (℃),02,4.5,5.78
만경강,수온 (℃),03,7.68,7.06
만경강,수온 (℃),04,8.66,9.3
만경강,수온 (℃),05,14.54,13.7
만경강,수온 (℃),06,17.94,16.12
만경강,수온 (℃),07,19.06,19.74
만경강,수온 (℃),08,20.88,20.2
만경강,수온 (℃),09,17.42,19.76
만경강,수온 (℃),10,16.96,15.56
만경강,수온 (℃),11,12.34,12.22
만경강,수온 (℃),12,8.16,8.34
만경강,수은 Hg (㎎/ℓ),01,0.0,0.0
만경강,수은 Hg (㎎/ℓ),02,0.0,0.0
만경강,수은 Hg (㎎/ℓ),03,0.0,0.0
만경강,수은 Hg (㎎/ℓ),04,0.0,0.0
만경강,수은 Hg (㎎/ℓ),05,0.0,0.0
만경강,수은 Hg (㎎/ℓ),06,0.0,0.0
만경강,수은 Hg (㎎/ℓ),07,0.0,0.0
만경강,수은 Hg (㎎/ℓ),08,0.0,0.0
만경강,수은 Hg (㎎/ℓ),09,0.0,0.0
만경강,수은 Hg (㎎/ℓ),10,0.0,0.0
만경강,수은 Hg (㎎/ℓ),11,0.0,0.0
만경강,수은 Hg (㎎/ℓ),12,0.0,0.0
만경강,시안 CN (㎎/ℓ),01,0.0,0.0
만경강,시안 CN (㎎/ℓ),02,0.0,0.0
만경강,시안 CN (㎎/ℓ),03,0.0,0.0
만경강,시안 CN (㎎/ℓ),04,0.0,0.0
만경강,시안 CN (㎎/ℓ),05,0.0,0.0
만경강,시안 CN (㎎/ℓ),06,0.0,0.0
만경강,시안 CN (㎎/ℓ),07,0.0,0.0
만경강,시안 CN (㎎/ℓ),08,0.0,0.0
만경강,시안 CN (㎎/ℓ),09,0.0,0.0
만경강,시안 CN (㎎/ℓ),10,0.0,0.0
만경강,시안 CN (㎎/ℓ),11,0.0,0.0
만경강,시안 CN (㎎/ℓ),12,0.0,0.0
만경강,용존산소 DO (㎎/ℓ),01,11.94,11.7
만경강,용존산소 DO (㎎/ℓ),02,12.88,12.28
만경강,용존산소 DO (㎎/ℓ),03,12.02,12.04
만경강,용존산소 DO (㎎/ℓ),04,11.32,11.2
만경강,용존산소 DO (㎎/ℓ),05,10.7,9.94
만경강,용존산소 DO (㎎/ℓ),06,9.4,9.38
만경강,용존산소 DO (㎎/ℓ),07,8.94,8.1
만경강,용존산소 DO (㎎/ℓ),08,7.74,7.74
만경강,용존산소 DO (㎎/ℓ),09,8.3,7.78
만경강,용존산소 DO (㎎/ℓ),10,8.4,8.3
만경강,용존산소 DO (㎎/ℓ),11,8.16,8.88
만경강,용존산소 DO (㎎/ℓ),12,10.96,9.22
만경강,카드뮴 Cd (㎎/ℓ),01,0.0,0.0
만경강,카드뮴 Cd (㎎/ℓ),02,0.0,0.0
만경강,카드뮴 Cd (㎎/ℓ),03,0.0,0.0
만경강,카드뮴 Cd (㎎/ℓ),04,0.0,0.0
만경강,카드뮴 Cd (㎎/ℓ),05,0.0,0.0
만경강,카드뮴 Cd (㎎/ℓ),06,0.0,0.0
만경강,카드뮴 Cd (㎎/ℓ),07,0.0,0.0
만경강,카드뮴 Cd (㎎/ℓ),08,0.0,2e-06
만경강,카드뮴 Cd (㎎/ℓ),09,0.0,0.0
만경강,카드뮴 Cd (㎎/ℓ),10,0.0,0.0
만경강,카드뮴 Cd (㎎/ℓ),11,0.0,0.0
만경강,카드뮴 Cd (㎎/ℓ),12,0.0,0.0
삽교천,6가크롬 Cr6+ (㎎/ℓ),01,0.0,0.0
삽교천,6가크롬 Cr6+ (㎎/ℓ),02,0.0,0.0
삽교천,6가크롬 Cr6+ (㎎/ℓ),03,0.0,0.0
삽교천,6가크롬 Cr6+ (㎎/ℓ),04,0.0,0.0
삽교천,6가크롬 Cr6+ (㎎/ℓ),05,0.0,0.0
삽교천,6가크롬 Cr6+ (㎎/ℓ),06,0.0,0.0
삽교천,6가크롬 Cr6+ (㎎/ℓ),07,0.0,0.0
삽교천,6가크롬 Cr6+ (㎎/ℓ),08,0.0,0.0
삽교천,6가크롬 Cr6+ (㎎/ℓ),09,0.0,0.0
삽교천,6가크롬 Cr6+ (㎎/ℓ),10,0.0,0.0
삽교천,6가크롬 Cr6+ (㎎/ℓ),11,0.0,0.0
삽교천,6가크롬 Cr6+ (㎎/ℓ),12,0.0,0.0
삽교천,납 Pb (㎎/ℓ),01,0.0,0.0
삽교천,납 Pb (㎎/ℓ),02,0.0,0.0
