"수계별(1)","수계별(2)",항목,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12
"한강","청평댐1",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","청평댐2",생물화학적산소요구량 BOD (㎎/ℓ),0.9,0.7,0.5,0.6,1.7,1.0,0.9,0.4,0.4
"한강","청평댐2",용존산소 DO (㎎/ℓ),11.8,11.1,8.2,8.3,10.8,10.1,10.2,10.7,11.3
"한강","청평댐2",수온 (℃),10.7,14.3,22.6,23.1,17.0,18.2,14.4,9.7,7.0
"한강","청평댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","청평댐2",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","청평댐2",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","청평댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","청평댐2",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","청평댐2",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","청평댐3",생물화학적산소요구량 BOD (㎎/ℓ),1.2,1.1,0.7,0.7,2.0,1.1,1.0,0.6,0.4
"한강","청평댐3",용존산소 DO (㎎/ℓ),11.9,10.4,8.0,8.4,9.8,9.8,10.1,10.5,11.7
"한강","청평댐3",수온 (℃),11.3,16.0,23.8,22.8,-,18.9,14.2,9.8,6.5
"한강","청평댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","청평댐3",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","청평댐3",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","청평댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","청평댐3",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","청평댐3",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","팔당댐1",생물화학적산소요구량 BOD (㎎/ℓ),0.6,0.6,1.5,0.7,0.6,1.2,1.5,0.8,0.6
"한강","팔당댐1",용존산소 DO (㎎/ℓ),11.0,9.4,9.1,8.3,8.7,9.7,11.4,11.6,13.0
"한강","팔당댐1",수온 (℃),12.6,17.0,22.1,21.9,16.6,20.6,16.9,10.5,4.2
"한강","팔당댐1",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐1",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","팔당댐1",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐1",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","팔당댐1",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐1",수은 Hg (㎎/ℓ),-,-,0.0000014,-,-,0.0000039,-,-,0.0000015
"한강","팔당댐2",생물화학적산소요구량 BOD (㎎/ℓ),1.8,1.1,0.9,1.0,1.1,1.1,0.9,0.8,0.8
"한강","팔당댐2",용존산소 DO (㎎/ℓ),10.7,9.3,6.9,7.8,10.2,9.7,9.4,10.5,12.6
"한강","팔당댐2",수온 (℃),11.9,15.7,20.9,21.6,25.7,19.2,16.3,11.1,4.2
"한강","팔당댐2",카드뮴 Cd (㎎/ℓ),0.00000,0.00000,0.00000,0.00000,-,0.00000,0.00000,0.00000,0.00000
"한강","팔당댐2",시안 CN (㎎/ℓ),0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00
"한강","팔당댐2",납 Pb (㎎/ℓ),0.00000,0.00000,0.00000,0.00000,-,0.00000,0.00000,0.00000,0.00000
"한강","팔당댐2",6가크롬 Cr6+ (㎎/ℓ),0.000,0.000,0.000,0.000,-,0.000,0.000,0.000,0.000
"한강","팔당댐2",비소 As (㎎/ℓ),0.00000,0.00000,0.00000,0.00000,-,0.00000,0.00000,0.00000,0.00000
"한강","팔당댐2",수은 Hg (㎎/ℓ),0.0000027,0.0000019,0.0000011,0.0000009,-,0.0000034,0.0000042,0.0000024,0.0000018
"한강","팔당댐3",생물화학적산소요구량 BOD (㎎/ℓ),1.7,1.3,1.7,1.1,0.9,1.9,1.9,1.1,0.6
"한강","팔당댐3",용존산소 DO (㎎/ℓ),11.7,10.4,10.1,9.0,9.0,10.8,10.9,11.5,13.0
"한강","팔당댐3",수온 (℃),12.8,16.9,22.9,22.2,24.7,21.0,17.2,10.8,4.4
"한강","팔당댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐3",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","팔당댐3",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","팔당댐3",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐3",수은 Hg (㎎/ℓ),-,-,0.0000011,-,-,0.0000032,-,-,0.0000013
"한강","팔당댐4",생물화학적산소요구량 BOD (㎎/ℓ),1.4,1.2,1.0,0.9,0.6,0.9,1.6,0.7,0.6
"한강","팔당댐4",용존산소 DO (㎎/ℓ),11.7,9.8,9.3,8.5,9.0,9.6,10.3,10.7,12.7
"한강","팔당댐4",수온 (℃),12.2,16.9,22.4,22.6,19.1,18.9,16.2,10.8,4.4
"한강","팔당댐4",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐4",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","팔당댐4",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐4",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","팔당댐4",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐4",수은 Hg (㎎/ℓ),-,-,0.0000012,-,-,0.0000057,-,-,0.0000016
"한강","팔당댐5",생물화학적산소요구량 BOD (㎎/ℓ),3.0,2.3,1.9,1.7,0.8,1.5,2.9,2.1,1.5
"한강","팔당댐5",용존산소 DO (㎎/ℓ),11.5,10.4,10.5,9.1,9.1,9.1,10.8,10.6,13.1
"한강","팔당댐5",수온 (℃),14.1,19.3,25.5,24.5,17.8,20.7,16.7,10.5,3.8
"한강","팔당댐5",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐5",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","팔당댐5",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐5",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","팔당댐5",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","팔당댐5",수은 Hg (㎎/ℓ),-,-,0.0000018,-,-,0.0000026,-,-,0.0000015
"한강","충주댐1",생물화학적산소요구량 BOD (㎎/ℓ),0.7,1.6,1.0,1.3,2.2,1.8,0.9,0.8,0.8
"한강","충주댐1",용존산소 DO (㎎/ℓ),11.8,10.8,9.9,9.7,6.7,8.9,7.6,8.1,10.2
"한강","충주댐1",수온 (℃),9.2,13.4,17.9,22.1,21.2,21.5,18.6,15.1,10.4
"한강","충주댐1",카드뮴 Cd (㎎/ℓ),0.00006,0.00006,0.00002,0.00004,-,0.00000,0.00027,0.00000,0.00000
"한강","충주댐1",시안 CN (㎎/ℓ),0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00
"한강","충주댐1",납 Pb (㎎/ℓ),0.00000,0.00037,0.00025,0.00068,-,0.00000,0.00000,0.00176,0.00229
"한강","충주댐1",6가크롬 Cr6+ (㎎/ℓ),0.000,0.000,0.000,0.000,-,0.000,0.000,0.000,0.000
"한강","충주댐1",비소 As (㎎/ℓ),0.00290,0.00114,0.00000,0.00351,-,0.00000,0.00315,0.00457,0.00310
"한강","충주댐1",수은 Hg (㎎/ℓ),0.0000000,0.0000000,0.0000000,0.0000000,-,0.0000000,0.0000000,0.0000000,0.0000000
"한강","충주댐2",생물화학적산소요구량 BOD (㎎/ℓ),1.9,1.6,1.5,1.6,9.0,2.1,1.9,1.7,1.8
"한강","충주댐2",용존산소 DO (㎎/ℓ),12.3,11.2,9.8,7.4,11.5,7.6,8.7,9.0,9.6
"한강","충주댐2",수온 (℃),8.1,9.5,13.9,18.6,29.8,21.8,20.0,16.8,12.1
"한강","충주댐2",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐2",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","충주댐2",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐2",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","충주댐2",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐2",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","충주댐3",생물화학적산소요구량 BOD (㎎/ℓ),2.0,1.6,1.5,1.6,1.5,2.2,1.8,1.6,1.8
"한강","충주댐3",용존산소 DO (㎎/ℓ),12.5,10.8,9.9,8.4,7.3,8.3,8.4,8.1,10.0
"한강","충주댐3",수온 (℃),7.6,10.9,12.9,15.5,29.2,21.0,19.5,17.1,12.1
"한강","충주댐3",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐3",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","충주댐3",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐3",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","충주댐3",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐3",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","충주댐4",생물화학적산소요구량 BOD (㎎/ℓ),1.9,1.6,1.6,1.9,2.3,1.8,2.2,1.7,1.8
"한강","충주댐4",용존산소 DO (㎎/ℓ),11.6,10.2,10.2,8.0,8.9,7.9,10.5,9.0,10.8
"한강","충주댐4",수온 (℃),9.9,14.5,19.1,23.3,28.7,24.0,20.3,15.8,10.7
"한강","충주댐4",카드뮴 Cd (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐4",시안 CN (㎎/ℓ),-,-,0.00,-,-,0.00,-,-,0.00
"한강","충주댐4",납 Pb (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐4",6가크롬 Cr6+ (㎎/ℓ),-,-,0.000,-,-,0.000,-,-,0.000
"한강","충주댐4",비소 As (㎎/ℓ),-,-,0.00000,-,-,0.00000,-,-,0.00000
"한강","충주댐4",수은 Hg (㎎/ℓ),-,-,0.0000000,-,-,0.0000000,-,-,0.0000000
"한강","충주댐5",수온 (℃),-,-,-,-,29.0,-,-,-,-
"한강","충주조정지댐1",생물화학적산소요구량 BOD (㎎/ℓ),2.1,1.7,1.7,1.8,3.7,2.3,2.2,2.0,2.0
"한강","충주조정지댐1",용존산소 DO (㎎/ℓ),13.0,11.9,11.0,10.9,10.5,8.2,10.4,10.6,10.8
"한강","충주조정지댐1",수온 (℃),11.3,12.8,16.6,18.5,29.9,20.7,19.1,14.1,11.0
