연도,범죄명,재범발생횟수
2018,살인기수,169
2018,살인미수등,306
2018,상해,34854
2018,선거범죄,1294
2018,성풍속범죄,5265
2018,손괴,21633
2018,안보범죄,94
2018,약취·유인,104
2018,유가증권인지,81
2018,유사강간,378
2018,절도범죄,55663
2018,증수뢰,418
2018,직권남용,56
2018,직무유기,20
2018,체포·감금,687
2018,통화,60
2018,특별경제범죄,36396
2018,폭력행위등,15524
2018,폭행,76592
2018,협박,9510
2018,환경범죄,2652
2018,횡령,12429
2019,강간,2392
2019,강간·강제추행,0
2019,강도,923
2019,강제추행,8557
2019,공갈,1619
2019,교통범죄,152778
2019,기타 강간·강제추행등,259
2019,기타범죄,116561
2019,노동범죄,524
2019,도박범죄,14812
2019,마약범죄,5746
2019,문서·인장,4489
2019,방화,856
2019,배임,1662
2019,병역범죄,6374
2019,보건범죄,8408
2019,사기,97171
2019,살인기수,156
2019,살인미수등,319
2019,상해,32049
2019,선거범죄,473
2019,성풍속범죄,5099
2019,손괴,22961
2019,안보범죄,306
2019,약취·유인,131
2019,유가증권인지,57
2019,유사강간,385
2019,절도범죄,57279
2019,증수뢰,388
2019,직권남용,49
2019,직무유기,26
2019,체포·감금,681
2019,통화,47
2019,특별경제범죄,38252
2019,폭력행위등,13575
2019,폭행,77946
2019,협박,11506
2019,환경범죄,3353
2019,횡령,12932
2020,강간,2400
2020,강간·강제추행,0
2020,강도,773
2020,강제추행,7940
2020,공갈,1599
2020,교통범죄,143499
2020,기타 강간·강제추행등,204
2020,기타범죄,109745
2020,노동범죄,340
2020,도박범죄,13902
2020,마약범죄,6233
2020,문서·인장,4362
2020,방화,792
2020,배임,1490
2020,병역범죄,1993
2020,보건범죄,9860
2020,사기,97665
2020,살인기수,164
2020,살인미수등,244
2020,상해,28646
2020,선거범죄,606
2020,성풍속범죄,4963
2020,손괴,22815
2020,안보범죄,388
2020,약취·유인,118
2020,유가증권인지,39
2020,유사강간,387
2020,절도범죄,56375
2020,증수뢰,305
2020,직권남용,26
2020,직무유기,19
2020,체포·감금,724
2020,통화,22
2020,특별경제범죄,32086
2020,폭력행위등,12499
2020,폭행,70520
2020,협박,11381
2020,환경범죄,2908
2020,횡령,13269
